size,internal_edges,external_edges,density,avg_clustering,diameter,avg_path_length,avg_degree,max_degree,modularity_contrib,conductance,community_id
27,168,0,0.47863247863247865,0.9456812468577176,2,1.5954415954415955,12.444444444444445,28,9.104871789695254e-05,0.0,167
12,75,0,1.1363636363636365,0.9848484848484849,2,1.0151515151515151,12.5,13,4.06487981104626e-05,0.0,168
11,65,0,1.1818181818181819,1.0,1,1.0,11.818181818181818,12,3.52291493132339e-05,0.0,169
22,154,3,0.6666666666666666,0.902871636603694,2,1.406926406926407,14.136363636363637,24,8.34618217251373e-05,0.00964630225080386,170
19,135,0,0.7894736842105263,0.8920377867746289,2,1.2982456140350878,14.210526315789474,20,7.316545705768331e-05,0.0,171
20,155,0,0.8157894736842105,0.8684210526315788,2,1.236842105263158,15.5,21,8.400387334060391e-05,0.0,172
10,55,0,1.2222222222222223,1.0,1,1.0,11.0,11,2.9809441761902736e-05,0.0,173
19,145,0,0.847953216374269,0.8769420208274701,2,1.2105263157894737,15.263157894736842,20,7.858469457619484e-05,0.0,174
21,164,0,0.780952380952381,0.8624729243924292,2,1.2619047619047619,15.619047619047619,22,8.888108399381449e-05,0.0,175
21,165,0,0.7857142857142857,0.8621553884711779,2,1.2619047619047619,15.714285714285714,22,8.942299335091053e-05,0.0,176
15,105,0,1.0,0.9250482850482852,2,1.1047619047619048,14.0,16,5.6907391977534e-05,0.0,177
14,95,0,1.043956043956044,0.9450549450549453,2,1.065934065934066,13.571428571428571,15,5.148791944261265e-05,0.0,178
13,85,0,1.0897435897435896,0.9650349650349652,2,1.0384615384615385,13.076923076923077,14,4.6068388153588854e-05,0.0,179
13,85,0,1.0897435897435896,0.9650349650349652,2,1.0384615384615385,13.076923076923077,14,4.6068388153588854e-05,0.0,180
18,129,0,0.8431372549019608,0.8897687280040221,2,1.2483660130718954,14.333333333333334,19,6.991388634460721e-05,0.0,181
24,195,0,0.7065217391304348,0.8501317523056655,2,1.3297101449275361,16.25,25,0.00010568000085721568,0.0,182
19,145,0,0.847953216374269,0.8761609907120745,2,1.2105263157894737,15.263157894736842,20,7.858469457619484e-05,0.0,183
17,124,0,0.9117647058823529,0.8929541047188108,2,1.1764705882352942,14.588235294117647,18,6.72042279263323e-05,0.0,184
22,140,0,0.6060606060606061,0.7022860977406431,3,1.5021645021645023,12.727272727272727,17,7.587508316120187e-05,0.0,185
10,55,0,1.2222222222222223,1.0,1,1.0,11.0,11,2.9809441761902736e-05,0.0,186
